system:index,lwe_thickness
20030131_20030227,-1.520158006440084
20030228_20030330,-6.241618488222657
20030331_20030429,-4.791495037406586
20030430_20030520,-3.7638819631118077
20030630_20030730,0.8206915397386537
20030731_20030830,2.515174601853202
20030831_20030929,0.2215075309456568
20030930_20031030,4.048686389239425
20031031_20031129,6.970368066506272
20031130_20031230,6.623713480374266
20031231_20040112,1.221564000397941
20040203_20040228,-3.7686370829650504
20040229_20040330,-3.9102929248965226
20040331_20040429,-3.8868681962056915
20040430_20040530,-2.812984226478767
20040531_20040629,-1.5076401607136387
20040630_20040730,-1.375540769146561
20040731_20040830,1.344131632313085
20040831_20040929,0.9675922352957362
20040930_20041030,6.137907518122547
20041031_20041129,6.088144121044059
20041130_20041230,2.9398408059538377
20041231_20050130,-1.5275116166555343
20050131_20050227,-6.5875307336246705
20050228_20050330,-5.497680653314685
20050331_20050429,-4.540226952735173
20050430_20050530,-3.4208692288146874
20050531_20050629,-3.2629634229409636
20050630_20050730,0.09097535661599836
20050731_20050830,-2.680699665942008
20050831_20050929,3.27760201623658
20050930_20051030,1.4555180126148872
20051031_20051129,4.958734236382632
20051130_20051230,1.7842411622127123
20051231_20060130,-0.19069588168390492
20060131_20060227,-0.41234423183925145
20060228_20060330,-0.45947342978638445
20060331_20060429,-5.111096277031653
20060430_20060530,-3.1039112390825605
20060531_20060629,-4.748444705477119
20060630_20060730,-1.8856377699404812
20060731_20060830,0.7816882553628357
20060831_20060929,3.215980240181114
20060930_20061030,6.324834018958663
20061031_20061129,2.0985236745004143
20061130_20061230,0.9602546674750253
20061231_20070130,-0.17846823710702367
20070131_20070227,-2.9271226141349125
20070228_20070330,-5.997646468854453
20070331_20070429,-9.849222609215799
20070430_20070530,-5.1555158475719605
20070531_20070629,-4.750222669548538
20070630_20070730,-0.5517758064448087
20070731_20070830,-0.29085093458065125
20070831_20070929,1.9874968225930754
20070930_20071030,0.6987025577530689
20071031_20071129,3.7791121689180747
20071130_20071230,0.70195390810736
20071231_20080130,0.879636435502126
20080131_20080228,-2.019975202716362
20080229_20080330,-2.339844323925652
20080331_20080429,-0.7032629447387683
20080430_20080530,2.7267419223142535
20080531_20080629,0.8679350304347709
20080630_20080730,2.4928978836131894
20080731_20080830,0.9282075896457991
20080831_20080929,3.765552532998446
20080930_20081030,2.6344753101821214
20081031_20081129,6.0687189550782215
20081130_20081230,4.225784567506777
20081231_20090130,0.4241525162457956
20090131_20090227,-0.8112591605003181
20090228_20090330,0.0785994783521098
20090331_20090429,0.8814135488431608
20090430_20090530,0.35929580137459843
20090531_20090629,0.5556158016913008
20090630_20090730,1.8043073422773837
20090731_20090830,2.851637656800545
20090831_20090929,5.468524249999835
20090930_20091030,4.640116323943512
20091031_20091129,4.493713958395739
20091130_20091230,0.7413086250381694
20091231_20100130,-0.1990801226443903
20100131_20100227,-2.2087372060824646
20100228_20100330,-3.916798579780656
20100331_20100429,-6.467799988214644
20100430_20100530,-2.865840926988586
20100531_20100629,-1.8507210367717617
20100630_20100730,-1.4073126383602945
20100731_20100830,0.028767294848300023
20100831_20100929,2.414750577101022
20100930_20101030,3.0451077486921965
20101031_20101129,0.7148352594790586
20101130_20101230,-1.0678740044575912
20110207_20110227,-1.41603002460242
20110228_20110330,-3.521704169283656
20110331_20110429,-0.5459580781599774
20110430_20110530,-5.023459837547242
20110706_20110730,-0.22338190042252618
20110731_20110830,0.9373988808359781
20110831_20110929,2.990547373156755
20110930_20111030,2.7230087924371973
20111016_20111115,3.311660226878286
20111218_20120114,4.426117741189979
20111231_20120130,2.905779382488507
20120131_20120228,0.24422974018011115
20120229_20120330,0.9053423832049138
20120331_20120418,-0.29451371797505205
20120531_20120629,-0.37996482331478626
20120630_20120730,1.501463231285811
20120731_20120830,-0.9018126544091611
20120831_20120923,4.4719213422719015
20121108_20121129,5.268129343634037
20121130_20121230,2.781151063502534
