system:index,precipitation
20030101,0.0
20030102,0.0
20030103,0.0
20030104,0.0
20030105,0.0
20030106,12.642641947068048
20030107,16.67601209511546
20030108,4.529647907230732
20030109,0.0
20030110,0.0
20030111,0.0
20030112,0.013815221642335757
20030113,0.0
20030114,0.0
20030115,0.0
20030116,0.0
20030117,0.0
20030118,0.0
20030119,0.0
20030120,7.973024038898089E-4
20030121,0.0
20030122,26.210994473859188
20030123,14.44791734241196
20030124,0.2785782519474317
20030125,0.0
20030126,0.0
20030127,0.0
20030128,0.0
20030129,0.0
20030130,0.0
20030131,0.0
20030201,0.0
20030202,27.821812365004345
20030203,0.0
20030204,14.370105159223732
20030205,14.070081560758062
20030206,0.0
20030207,26.326870174978875
20030208,0.0
20030209,0.0
20030210,0.32907104031315965
20030211,0.17634644892957876
20030212,0.0
20030213,0.0
20030214,0.0
20030215,0.0
20030216,0.0
20030217,0.0
20030218,0.0
20030219,0.0
20030220,0.0
20030221,0.0
20030222,0.0
20030223,16.817277425388454
20030224,0.3164885759163072
20030225,0.0
20030226,0.0
20030227,0.0
20030228,0.0
20030301,0.0
20030302,0.0
20030303,6.97911564931012
20030304,0.4033898940906855
20030305,17.385550986843786
20030306,14.324801073201165
20030307,8.545456320744734
20030308,0.0
20030309,0.0
20030310,0.0
20030311,0.0
20030312,0.0
20030313,0.0
20030314,0.0
20030315,0.0
20030316,0.0
20030317,0.0
20030318,23.846650551922437
20030319,22.51951957638792
20030320,0.0
20030321,0.0
20030322,0.0
20030323,0.0
20030324,0.0
20030325,0.0
20030326,0.0
20030327,5.678490920582978
20030328,18.232517093074122
20030329,0.0
20030330,0.0
20030331,0.0
20030401,0.0
20030402,0.0
20030403,0.0
20030404,0.0
20030405,0.6586685383590987
20030406,0.0
20030407,0.0
20030408,0.0
20030409,0.0
20030410,0.0
20030411,0.0
20030412,0.0
20030413,0.0
20030414,0.0
20030415,0.0
20030416,0.0
20030417,0.0
20030418,5.57760154929097
20030419,6.511568972630499
20030420,15.164824736911008
20030421,0.4686215120719473
20030422,0.0
20030423,0.0
20030424,18.60987461674754
20030425,0.0
20030426,0.0
20030427,0.0
20030428,0.0
20030429,9.415131338993543
20030430,10.54575080671521
20030501,17.47971751435427
20030502,14.039917974935628
20030503,7.220559678358924
20030504,0.0
20030505,6.151740467064798
20030506,5.977970899036256
20030507,4.88619260264721
20030508,10.46593497830246
20030509,23.035420289873755
20030510,10.201947104155025
20030511,0.9573305438012238
20030512,9.741101315445732
20030513,19.278344400202442
20030514,7.739922136487276
20030515,2.3394315164917128
20030516,12.732831005847547
20030517,25.150954402977025
20030518,24.32210744957686
20030519,7.697515988717006
20030520,18.57052301485244
20030521,10.723575518904289
20030522,14.241666613044549
20030523,12.043932508519932
20030524,0.0
20030525,0.0
20030526,1.6201055098183395
20030527,1.1393739817970698
20030528,8.305456412219119
20030529,8.660892242755926
20030530,0.0
20030531,1.9678615903888985
20030601,1.6858451537691084
20030602,3.8333007645366406
20030603,0.0
20030604,0.0
20030605,0.0
20030606,0.06695100720571522
20030607,5.417839589605492
20030608,4.320547349906899
20030609,11.107920360780325
20030610,18.346456169546823
20030611,15.465080192183466
20030612,14.474473301000973
20030613,27.177201971359178
20030614,28.668606157239214
20030615,11.386982235315164
20030616,7.022468881390146
20030617,26.395334790506187
20030618,31.863392334328523
20030619,10.218045430133866
20030620,2.2103044206640754
20030621,23.428693970898234
20030622,9.33965207264922
20030623,12.89993576180213
20030624,27.106300782965224
20030625,12.749480514354703
20030626,25.662753186793392
20030627,35.661953208689155
20030628,24.689521110477294
20030629,4.94513896998182
20030630,3.9127830683944778
20030701,13.097804271763383
20030702,18.881070400671508
20030703,12.238578220691332
20030704,14.5569017904474
20030705,19.94589979759338
20030706,40.93112358749276
20030707,35.25758215999288
20030708,51.68109457051229
20030709,30.39776035263432
20030710,1.3379590916431061
20030711,7.779711091234712
20030712,14.053042959393906
20030713,1.7872217716269905
20030714,9.997105495149732
20030715,24.670293874361338
20030716,41.8857151026167
20030717,14.523338620998514
20030718,0.240661424077309
20030719,8.901968626715012
20030720,25.993452222257122
20030721,27.182712418978312
20030722,5.271289549486929
20030723,9.705682329121588
20030724,15.68791008152167
20030725,2.396221813911939
20030726,21.336502051672106
20030727,11.521942067673551
20030728,39.7837831888517
20030729,47.95901593184679
20030730,16.05078044000382
20030731,0.0
