system:index,total_precipitation_sum
20030101,0.011385307979678457
20030102,0.0010573326565583695
20030103,0.003590664563715894
20030104,0.016078885992447133
20030105,0.0020297166739917986
20030106,0.010360900012501556
20030107,0.010527685753771778
20030108,0.00797784964461766
20030109,9.406856641081447E-4
20030110,0.006094762329074111
20030111,0.0010528708058845635
20030112,4.923339092955865E-4
20030113,8.072129345499188E-4
20030114,0.002070486521883903
20030115,0.002958775826594011
20030116,0.005741229480561923
20030117,0.005766027339108878
20030118,0.011461989283209753
20030119,0.009881571335962173
20030120,0.01291660995629762
20030121,0.0064869130815865365
20030122,0.01117749026494602
20030123,0.009315898821581948
20030124,0.014865679770518055
20030125,0.006105427580893231
20030126,0.010316340708288688
20030127,0.015356358250570707
20030128,0.0024100939232744706
20030129,0.004540691939848222
20030130,0.005593924815271226
20030131,0.0043595612027931335
20030201,0.002225693253057087
20030202,0.02095378536700832
20030203,0.0036005446354022913
20030204,0.009636878954545326
20030205,0.004751530172639064
20030206,0.016168533648004853
20030207,0.013233532939379506
20030208,0.005459624691835338
20030209,0.004669892893615741
20030210,0.008928934421435039
20030211,2.6615354519415708E-5
20030212,0.0010887127098392244
20030213,0.004361540220365971
20030214,0.0010204767219373853
20030215,0.0018765140092362575
20030216,0.0013727869879186913
20030217,0.002288218815489087
20030218,0.001723900587676073
20030219,0.0040352382783887105
20030220,0.014279424114648756
20030221,0.0025513504304964436
20030222,0.0031292070093681575
20030223,0.012765320667749769
20030224,0.001946783128168942
20030225,0.0019183215791464068
20030226,0.002963313622580839
20030227,0.005203385040798888
20030228,0.013609589949130894
20030301,0.005744270265487978
20030302,0.004356733128974664
20030303,0.019554386594536
20030304,0.018657314586238608
20030305,0.012475201440874625
20030306,0.016614091852463812
20030307,0.0097596756504112
20030308,0.0013246573705177674
20030309,0.004490770580357356
20030310,0.003804950789984371
20030311,0.0034406753296181113
20030312,0.0010915556984759883
20030313,0.004134321450377435
20030314,0.005666841143460805
20030315,0.012177754727191126
20030316,0.0015564194987269617
20030317,4.2555867098070517E-4
20030318,0.018695251539518586
20030319,0.021430463644370804
20030320,0.009894441011702509
